24.02.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
İL PLAKA NO;İL ADI;ADANA;ADIYAMAN;AFYONKARAHİSAR;AĞRI;AMASYA;ANKARA;ANTALYA;ARTVİN;AYDIN;BALIKESİR;BİLECİK;BİNGÖL;BİTLİS;BOLU;BURDUR;BURSA;ÇANAKKALE;ÇANKIRI;ÇORUM;DENİZLİ;DİYARBAKIR;EDİRNE;ELAZIĞ;ERZİNCAN;ERZURUM;ESKİŞEHİR;GAZİANTEP;GİRESUN;GÜMÜŞHANE;HAKKARİ;HATAY;ISPARTA;MERSİN;İSTANBUL;İZMİR;KARS;KASTAMONU;KAYSERİ;KIRKLARELİ;KIRŞEHİR;KOCAELİ;KONYA;KÜTAHYA;MALATYA;MANİSA;KAHRAMANMARAŞ;MARDİN;MUĞLA;MUŞ;NEVŞEHİR;NİĞDE;ORDU;RİZE;SAKARYA;SAMSUN;SİİRT;SİNOP;SİVAS;TEKİRDAĞ;TOKAT;TRABZON;TUNCELİ;ŞANLIURFA;UŞAK;VAN;YOZGAT;ZONGULDAK;AKSARAY;BAYBURT;KARAMAN;KIRIKKALE;BATMAN;ŞIRNAK;BARTIN;ARDAHAN;IĞDIR;YALOVA;KARABÜK;KİLİS;OSMANİYE;DÜZCE
30;HAKKARİ;906;652;1485;428;1168;1376;1453;753;1786;1809;1676;490;323;1564;1554;1748;2027;1406;1248;1667;527;2059;630;798;610;1596;691;969;808;;885;1525;977;1826;1812;552;1418;1058;2035;1193;1716;1264;1582;724;1792;769;386;1762;379;1141;1114;1012;857;1679;1158;290;1319;968;1957;1071;902;633;545;1597;195;1188;1633;1175;732;1199;1302;456;190;1598;639;417;1781;1533;745;814;1610
31;HATAY;196;316;774;956;673;688;742;980;1075;1098;981;610;719;884;843;1052;1290;776;711;957;515;1379;472;748;786;886;194;787;851;885;;814;266;1147;1101;991;882;428;1355;562;1036;553;871;375;1081;176;527;1051;719;483;403;779;982;999;802;694;927;499;1278;564;903;609;333;886;878;626;960;464;872;488;671;607;697;979;1015;1055;1101;910;146;127;931
32;ISPARTA;618;956;167;1362;723;383;131;1352;288;395;352;1127;1318;563;29;423;588;525;632;169;1138;828;989;997;1183;301;835;993;1101;1525;814;;563;595;390;1385;631;553;804;507;485;266;242;892;370;812;1167;269;1236;474;501;951;1204;448;804;1325;802;749;726;772;1125;1121;973;170;1452;606;629;398;1122;379;466;1237;1337;645;1404;1506;491;576;870;707;516
33;MERSİN;70;407;571;1048;635;485;466;1072;811;895;778;702;811;681;574;849;1086;583;575;692;607;1176;564;747;878;683;286;786;850;977;266;563;;944;898;1082;689;328;1152;369;833;350;668;467;878;268;619;775;811;280;200;777;981;796;746;785;859;498;1074;562;902;700;425;683;970;482;757;261;871;233;479;698;788;776;1107;1147;898;707;322;159;727
34;İSTANBUL;951;1182;450;1409;674;453;715;1284;681;393;248;1338;1529;263;594;244;314;495;611;649;1349;232;1200;1044;1229;323;1098;925;1087;1826;1147;595;944;;566;1431;509;766;209;634;113;676;354;1103;529;1023;1431;776;1447;726;806;882;1135;148;736;1536;689;892;131;784;1057;1167;1237;492;1641;665;329;683;1126;789;525;1448;1600;417;1393;1552;178;396;1161;1040;216
35;İZMİR;905;1243;327;1647;922;582;447;1551;128;175;430;1414;1605;606;388;325;327;725;831;226;1425;546;1276;1282;1467;412;1122;1192;1354;1812;1101;390;898;566;;1669;831;840;560;752;453;553;334;1179;37;1099;1454;226;1523;761;788;1150;1403;491;1003;1612;1001;1033;496;972;1324;1405;1260;215;1739;806;672;685;1406;666;665;1524;1624;760;1688;1791;391;740;1157;994;560
36;KARS;1012;726;1342;214;762;1078;1447;203;1646;1601;1383;382;452;1168;1414;1440;1719;1008;853;1527;520;1663;522;393;205;1320;857;564;403;552;991;1385;1082;1431;1669;;1012;838;1640;962;1321;1134;1399;615;1649;837;614;1655;347;911;960;607;344;1283;753;547;914;640;1562;696;422;441;697;1454;357;864;1228;987;327;1135;1007;585;643;1193;89;135;1386;1128;895;919;1215
37;KASTAMONU;696;868;504;990;255;237;790;844;843;680;462;892;1082;247;669;518;797;106;192;724;957;741;789;625;810;482;784;485;647;1418;882;631;689;509;831;1012;;452;718;319;399;460;567;711;816;709;1051;852;1001;412;492;443;696;361;296;1144;181;474;640;365;617;748;923;615;1223;299;213;428;722;571;210;1056;1286;181;953;1134;464;113;847;785;293
38;KAYSERİ;335;414;513;816;341;315;615;822;814;837;616;569;760;504;582;688;967;346;281;696;581;998;432;451;636;536;330;490;554;1058;428;553;328;766;840;838;452;;975;133;656;302;610;335;820;254;663;823;679;79;128;482;685;618;453;768;543;202;897;267;606;574;468;625;895;197;580;155;575;303;242;680;832;598;857;960;721;529;393;356;550
39;KIRKLARELİ;1159;1391;659;1617;883;662;924;1492;682;434;457;1546;1737;471;803;443;245;704;820;716;1558;67;1409;1252;1438;532;1307;1133;1295;2035;1355;804;1152;209;560;1640;718;975;;842;321;885;562;1312;570;1232;1640;780;1656;935;1015;1091;1344;357;944;1745;898;1101;124;992;1265;1375;1446;656;1850;874;538;891;1335;998;733;1657;1809;625;1602;1761;387;605;1370;1249;425
40;KIRŞEHİR;376;549;425;940;312;183;568;941;765;706;483;704;895;371;536;555;834;214;221;646;715;866;566;575;760;403;464;582;678;1193;562;507;369;634;752;962;319;133;842;;523;255;482;469;732;389;797;773;814;92;173;540;793;486;393;902;490;326;764;332;714;698;603;537;1029;113;447;108;699;320;109;815;967;466;981;1084;588;397;528;466;417
41;KOCAELİ;840;1072;340;1298;563;342;605;1173;569;280;138;1227;1418;152;483;131;398;385;501;539;1239;345;1090;933;1118;213;988;814;976;1716;1036;485;833;113;453;1321;399;656;321;523;;566;243;992;417;912;1321;666;1337;616;696;772;1025;37;625;1426;578;782;243;673;946;1056;1126;381;1531;555;218;572;1015;679;414;1338;1490;306;1282;1442;65;286;1051;929;106
42;KONYA;357;695;226;1111;509;259;271;1117;527;550;433;875;1066;455;295;504;741;354;419;408;887;908;738;746;932;337;574;779;850;1264;553;266;350;676;553;1134;460;302;885;255;566;;323;641;533;555;906;536;985;223;240;737;990;528;590;1074;630;498;807;559;911;869;712;338;1201;368;531;147;871;118;249;986;1076;550;1153;1255;572;481;609;446;501
43;KÜTAHYA;675;1012;97;1377;652;312;361;1281;414;227;110;1183;1374;321;240;182;419;455;561;296;1194;586;1045;1012;1197;79;891;922;1084;1582;871;242;668;354;334;1399;567;610;562;482;243;323;;948;314;868;1224;423;1293;531;557;880;1133;206;733;1381;747;763;484;702;1054;1135;1030;138;1509;536;387;455;1136;436;395;1294;1393;475;1418;1521;249;454;926;764;274
44;MALATYA;396;186;852;593;457;652;953;605;1153;1176;953;235;426;840;921;1024;1304;683;524;1034;246;1335;97;361;411;872;241;532;491;724;375;892;467;1103;1179;615;711;335;1312;469;992;641;948;;1159;222;341;1162;344;418;467;562;654;955;586;433;711;244;1234;348;584;233;269;964;560;464;916;494;489;642;578;346;539;892;640;734;1058;826;304;304;887
45;MANİSA;885;1223;307;1627;902;562;427;1531;152;138;393;1394;1585;569;368;288;328;705;811;206;1405;556;1256;1262;1447;392;1102;1172;1334;1792;1081;370;878;529;37;1649;816;820;570;732;417;533;314;1159;;1079;1434;251;1503;741;768;1130;1383;455;983;1592;981;1013;506;952;1304;1385;1240;195;1719;786;636;665;1386;646;645;1504;1604;723;1668;1771;354;703;1137;974;523
46;KAHRAMANMARAŞ;197;162;772;815;500;572;744;827;1073;1096;873;457;572;760;841;944;1224;603;538;954;368;1255;319;575;633;792;78;614;678;769;176;812;268;1023;1099;837;709;254;1232;389;912;555;868;222;1079;;411;1053;566;338;386;605;809;875;629;547;754;326;1154;391;730;455;217;884;731;453;836;414;699;490;498;460;580;855;862;908;978;786;141;105;807
47;MARDİN;549;294;1127;518;798;980;1095;604;1428;1451;1281;236;281;1168;1196;1352;1632;1011;865;1310;94;1663;247;501;410;1200;333;772;611;386;527;1167;619;1431;1454;614;1051;663;1640;797;1321;906;1224;341;1434;411;;1404;362;746;756;815;659;1283;927;235;1052;585;1562;688;704;374;188;1239;440;805;1244;817;535;841;906;148;198;1232;639;616;1386;1167;388;456;1215
48;MUĞLA;855;1193;348;1632;943;604;309;1572;98;389;533;1396;1587;743;240;539;547;746;853;150;1408;766;1259;1267;1453;482;1071;1213;1375;1762;1051;269;775;776;226;1655;852;823;780;773;666;536;423;1162;251;1053;1404;;1506;744;771;1171;1424;629;1024;1595;1022;1019;716;993;1345;1390;1210;280;1722;827;810;668;1392;649;687;1507;1574;865;1674;1776;605;796;1107;944;697
49;MUŞ;741;455;1196;246;751;996;1298;464;1497;1520;1297;111;81;1185;1265;1369;1648;1027;869;1379;249;1679;251;381;270;1217;586;632;471;379;719;1236;811;1447;1523;347;1001;679;1656;814;1337;985;1293;344;1503;566;362;1506;;762;811;675;519;1299;828;177;969;589;1578;692;564;254;425;1308;216;809;1217;838;395;986;923;214;273;1182;403;390;1402;1117;624;648;1231
50;NEVŞEHİR;287;497;434;888;355;275;536;894;735;758;576;652;843;463;503;648;927;306;295;617;664;958;515;523;709;496;413;562;627;1141;483;474;280;726;761;911;412;79;935;92;616;223;531;418;741;338;746;744;762;;80;614;758;578;467;851;582;275;857;339;679;646;552;546;978;205;539;76;648;256;201;763;915;558;930;1032;681;489;476;376;510
51;NİĞDE;207;544;461;937;435;337;541;943;762;785;635;701;892;544;530;706;986;386;375;643;713;1039;564;572;757;555;423;611;676;1114;403;501;200;806;788;960;492;128;1015;173;696;240;557;467;768;386;756;771;811;80;;603;806;659;546;900;663;324;937;388;728;695;562;573;1027;286;620;113;696;175;282;812;926;638;978;1081;761;570;459;296;590
